EnsembleID,S518NP,P3005NP,P3185NP,P3190NP,P3236NP,P3071NP
ENSG00000006025,0.491495743,0.491495743,1.773077512,1.770364417,3.051305335,0.491495743
ENSG00000006047,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000006062,3.178035596,5.195690639,4.427948733,4.423638414,4.796674293,3.528232095
ENSG00000006071,0.964924616,0.491495743,1.773077512,1.268225633,0.491495743,0.491495743
ENSG00000006125,7.94435321,6.322369514,7.479416015,7.311408729,7.071366373,7.083710728
ENSG00000006194,5.23721489,3.903118235,3.953204495,3.949011715,3.051305335,3.170636651
ENSG00000006210,0.491495743,0.491495743,2.895625316,1.268225633,1.118199498,0.491495743
ENSG00000006282,0.491495743,2.771436164,0.491495743,2.142135943,2.757002329,0.491495743
ENSG00000006283,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000006327,0.491495743,0.491495743,1.773077512,0.491495743,2.158766942,1.977737121
ENSG00000006432,1.320785797,2.771436164,0.491495743,2.142135943,2.277317989,1.977737121
ENSG00000006451,5.546242112,5.569632511,5.3800478,5.410023556,4.062039258,4.990957457
ENSG00000006453,0.491495743,2.041553926,0.491495743,1.268225633,0.491495743,1.977737121
ENSG00000006459,6.554021469,6.167749796,7.21214251,6.453556719,6.053518931,6.571695232
ENSG00000006468,1.320785797,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000006530,1.470433385,3.614691438,3.953204495,3.236936377,2.029594888,3.170636651
ENSG00000006534,4.415291166,3.903118235,4.28637771,3.949011715,3.923465929,3.528232095
ENSG00000006555,0.491495743,0.491495743,0.491495743,1.770364417,1.73033331,0.491495743
ENSG00000006576,5.083062717,4.143378292,5.070244864,5.021974594,6.318384868,4.990957457
ENSG00000006607,3.591448198,5.394743376,5.070244864,5.108384049,4.873970098,4.053370258
ENSG00000006625,3.831705726,3.614691438,1.773077512,2.437467618,1.118199498,2.69412117
ENSG00000006634,2.529666094,3.903118235,4.28637771,3.382757049,3.23831334,4.597025657
ENSG00000006638,1.729927308,3.903118235,3.953204495,4.03976549,5.281101156,3.528232095
ENSG00000006652,6.545612888,6.112294353,7.001767532,6.453556719,7.824362717,6.571695232
ENSG00000006659,0.491495743,2.041553926,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000006695,3.716572569,0.491495743,2.440884036,2.891885759,2.386862702,1.977737121
ENSG00000006704,0.747543474,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000006712,4.522009539,6.112294353,5.692201856,6.201709946,5.697286642,5.770714733
ENSG00000006715,5.604073548,5.931862265,6.08319827,6.486197515,6.969389574,6.752018578
ENSG00000006740,0.747543474,0.491495743,1.773077512,1.268225633,0.491495743,3.170636651
ENSG00000006744,1.729927308,4.143378292,3.240861564,3.748342975,3.686921726,3.170636651
ENSG00000006747,0.491495743,2.771436164,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000006756,0.491495743,2.041553926,0.491495743,3.382757049,2.83639491,0.491495743
ENSG00000006757,0.491495743,2.771436164,2.440884036,1.770364417,1.352299484,2.69412117
ENSG00000006788,1.844040484,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000006831,3.26255325,4.143378292,4.129387603,4.831884545,5.620864237,5.101519966
ENSG00000006837,1.606006813,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000007047,4.986967016,4.143378292,4.556860461,4.9300581,4.028623673,3.528232095
ENSG00000007062,0.747543474,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000007080,2.048306209,5.569632511,4.28637771,4.831884545,3.403838674,4.597025657
ENSG00000007129,0.491495743,2.771436164,1.773077512,1.268225633,1.73033331,0.491495743
ENSG00000007168,7.001034052,5.394743376,6.08319827,6.078682055,5.877012666,5.702181763
ENSG00000007171,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000007202,6.034918423,3.903118235,4.556860461,5.14972242,5.516255311,3.528232095
ENSG00000007237,6.541390148,5.195690639,5.070244864,6.035225439,5.89566731,4.871213364
ENSG00000007255,3.418043975,3.903118235,2.440884036,3.515182447,1.553663305,2.69412117
ENSG00000007264,2.308969626,4.689565934,4.427948733,4.67083439,2.672984976,4.871213364
ENSG00000007312,4.487306534,3.903118235,2.895625316,3.636467861,3.178630759,0.491495743
ENSG00000007314,3.655366457,0.491495743,1.773077512,0.491495743,0.491495743,0.491495743
ENSG00000007341,3.558394758,4.833687412,5.851491359,5.659371972,6.0863693,6.320559353
ENSG00000007350,0.491495743,2.041553926,2.440884036,0.491495743,1.352299484,1.977737121
ENSG00000007372,0.491495743,2.041553926,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000007376,2.779574869,3.253816588,1.773077512,1.268225633,2.583770537,3.170636651
ENSG00000007392,0.491495743,4.529432785,3.51922813,4.423638414,5.707881012,4.437538838
ENSG00000007402,0.491495743,0.491495743,2.440884036,1.770364417,1.352299484,0.491495743
ENSG00000007516,1.470433385,2.041553926,2.440884036,2.142135943,3.295624694,0.491495743
ENSG00000007520,2.140526949,3.614691438,3.752473184,4.552524357,3.403838674,3.528232095
ENSG00000007541,2.459785762,0.491495743,1.773077512,0.491495743,3.051305335,0.491495743
ENSG00000007545,0.491495743,3.903118235,0.491495743,2.891885759,3.923465929,0.491495743
ENSG00000007908,1.153799778,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000007923,4.884010847,3.903118235,4.129387603,4.354603532,3.99441573,4.053370258
ENSG00000007933,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000007944,5.485995303,3.903118235,4.129387603,4.282098492,4.55990535,0.491495743
ENSG00000007968,3.938325956,4.833687412,6.458094853,4.354603532,2.672984976,4.740623486
ENSG00000008018,4.259486837,5.649720085,5.513116786,5.715512814,4.911118514,4.871213364
ENSG00000008083,4.974492193,6.370434005,6.978939164,6.974378646,8.325232476,7.307814394
ENSG00000008086,4.217756943,2.771436164,3.240861564,3.515182447,3.403838674,3.170636651
ENSG00000008128,0.491495743,2.041553926,2.440884036,2.437467618,4.583109166,2.69412117
ENSG00000008130,5.814676341,6.322369514,5.747275792,6.240493339,7.824362717,5.836139255
ENSG00000008226,0.964924616,0.491495743,0.491495743,0.491495743,1.887709792,1.977737121
ENSG00000008256,2.459785762,3.253816588,2.895625316,3.382757049,2.277317989,3.170636651
ENSG00000008277,2.308969626,0.491495743,3.953204495,3.074702331,3.686921726,1.977737121
ENSG00000008282,6.022853125,3.903118235,3.240861564,3.074702331,3.686921726,1.977737121
ENSG00000008283,0.491495743,0.491495743,0.491495743,3.382757049,2.158766942,3.528232095
ENSG00000008294,5.84925025,5.394743376,5.3800478,5.742784689,7.127685395,4.597025657
ENSG00000008300,0.964924616,0.491495743,1.773077512,0.491495743,1.887709792,0.491495743
ENSG00000008311,2.140526949,0.491495743,0.491495743,0.491495743,0.83861323,0.491495743
ENSG00000008323,1.949785482,0.491495743,0.491495743,0.491495743,0.83861323,0.491495743
ENSG00000008324,2.459785762,4.833687412,4.129387603,3.236936377,2.277317989,3.81456408
ENSG00000008382,2.140526949,4.529432785,4.784549683,5.14972242,3.848845623,4.258204254
ENSG00000008394,0.491495743,3.614691438,0.491495743,0.491495743,1.887709792,3.170636651
ENSG00000008405,2.942155921,0.491495743,3.51922813,3.852163487,2.488673413,3.170636651
ENSG00000008438,0.747543474,3.614691438,3.51922813,2.142135943,2.029594888,2.69412117
ENSG00000008441,5.728153267,5.084818068,6.039738724,4.282098492,2.983164683,5.474575202
ENSG00000008513,3.938325956,5.084818068,5.154152048,5.021974594,5.858113646,5.474575202
ENSG00000008516,3.655366457,4.143378292,4.675192218,4.72653942,7.71044179,3.81456408
ENSG00000008517,6.666868429,6.629376726,5.747275792,6.469969427,3.729138123,5.898725116
ENSG00000008710,2.140526949,2.771436164,2.440884036,4.03976549,4.18846104,0.491495743
ENSG00000008735,0.491495743,0.491495743,0.491495743,0.491495743,1.352299484,1.977737121
ENSG00000008838,3.859108551,2.041553926,3.51922813,3.949011715,3.598591771,3.81456408
ENSG00000008853,1.606006813,2.771436164,3.752473184,4.205755876,2.672984976,3.170636651
ENSG00000008869,6.356667172,4.833687412,4.675192218,4.831884545,5.223198145,5.300072318
ENSG00000008952,8.010002016,7.954810385,8.984128011,8.1557496,7.295119984,8.545869192
ENSG00000008988,10.12082974,10.04436579,9.711434651,9.805511576,7.749423541,8.907232748
ENSG00000009307,9.334846391,9.049979404,9.51120167,9.301799624,9.075433499,9.523427338
ENSG00000009335,6.010686074,4.96471016,5.070244864,5.267072855,4.892663871,5.474575202
ENSG00000009413,6.524374492,4.96471016,4.28637771,5.304160222,4.715001573,4.990957457
ENSG00000009694,2.529666094,0.491495743,1.773077512,0.491495743,1.887709792,0.491495743
ENSG00000009724,0.964924616,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000009780,4.451748154,2.771436164,2.895625316,3.382757049,3.23831334,2.69412117
ENSG00000009790,5.835519952,7.068715853,6.88383232,6.974378646,6.781564582,6.682569835
ENSG00000009830,0.491495743,0.491495743,0.491495743,0.491495743,1.73033331,1.977737121
ENSG00000009844,5.595952497,4.143378292,5.233446251,4.423638414,5.017147702,4.740623486
ENSG00000009950,1.949785482,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000009954,6.537155012,6.779329616,6.282789961,7.207574309,6.536151382,6.532759057
ENSG00000010017,6.440690827,6.706300547,7.58900228,7.187865329,7.683856217,7.872999612
ENSG00000010030,0.491495743,0.491495743,0.491495743,0.491495743,2.83639491,1.977737121
ENSG00000010072,3.133844461,3.903118235,1.773077512,3.074702331,3.116372234,2.69412117
ENSG00000010165,0.747543474,2.771436164,2.895625316,3.636467861,2.583770537,3.170636651
ENSG00000010219,2.22720522,2.041553926,4.28637771,3.382757049,2.277317989,1.977737121
ENSG00000010244,6.389926968,5.484836416,5.747275792,5.769550583,6.385914997,5.101519966
ENSG00000010256,5.800611397,5.484836416,4.28637771,4.9300581,3.99441573,4.871213364
ENSG00000010270,3.04118152,3.903118235,4.129387603,3.236936377,4.512347178,4.258204254
ENSG00000010278,6.05282926,5.084818068,6.672452855,7.063598553,8.13422711,7.825462701
ENSG00000010292,5.595952497,5.298647272,5.233446251,5.021974594,3.770154217,4.990957457
ENSG00000010295,0.491495743,2.041553926,3.752473184,3.074702331,5.147389998,1.977737121
ENSG00000010318,3.220913249,3.253816588,5.233446251,5.267072855,5.208351844,5.389960554
ENSG00000010319,3.133844461,2.771436164,0.491495743,2.437467618,1.118199498,0.491495743
ENSG00000010322,3.746228639,5.084818068,3.953204495,4.125146636,5.540166033,1.977737121
ENSG00000010327,1.606006813,0.491495743,0.491495743,2.142135943,5.252440125,2.69412117
ENSG00000010361,3.04118152,2.771436164,0.491495743,0.491495743,2.158766942,2.69412117
ENSG00000010379,0.491495743,0.491495743,0.491495743,0.491495743,0.83861323,0.491495743
ENSG00000010404,6.862345889,5.86632933,5.994929239,6.533814463,6.487790302,5.898725116
ENSG00000010438,0.491495743,2.041553926,1.773077512,0.491495743,0.491495743,0.491495743
ENSG00000010539,0.491495743,0.491495743,0.491495743,2.682494716,3.686921726,2.69412117
ENSG00000010610,2.529666094,4.349280359,3.953204495,2.682494716,4.911118514,3.81456408
ENSG00000010626,1.320785797,0.491495743,0.491495743,2.437467618,1.887709792,0.491495743
ENSG00000010671,6.472089201,6.848839393,6.672452855,6.974378646,7.305620599,7.353217984
ENSG00000010704,0.491495743,2.041553926,0.491495743,1.268225633,1.553663305,1.977737121
ENSG00000010803,4.037605937,5.298647272,5.233446251,5.304160222,5.193351175,4.871213364
ENSG00000010810,7.829562043,7.009237651,6.908203248,7.11668303,7.237788173,7.212481665
ENSG00000010818,5.876324937,6.589319979,6.458094853,6.403167639,6.547992529,5.770714733
ENSG00000010932,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000011007,5.928996082,5.484836416,5.3800478,5.021974594,4.33234293,5.204209196
ENSG00000011009,3.303025049,3.903118235,2.895625316,4.354603532,2.488673413,3.528232095
ENSG00000011021,0.964924616,0.491495743,0.491495743,2.437467618,3.295624694,0.491495743
ENSG00000011028,4.037605937,2.771436164,2.895625316,3.074702331,1.352299484,0.491495743
ENSG00000011083,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000011105,0.747543474,2.771436164,4.28637771,4.72653942,6.028380767,5.702181763
ENSG00000011114,4.729261963,4.143378292,4.556860461,4.72653942,4.776685472,4.740623486
ENSG00000011132,2.889971798,2.771436164,0.491495743,3.382757049,2.983164683,1.977737121
ENSG00000011143,0.747543474,0.491495743,3.752473184,2.437467618,2.672984976,3.170636651
ENSG00000011198,4.433634816,2.771436164,4.427948733,3.949011715,5.266841813,3.170636651
ENSG00000011243,4.107824778,4.833687412,4.886198644,6.078682055,6.247537875,5.204209196
ENSG00000011258,6.347021817,6.167749796,6.584454201,6.221231963,7.426005157,6.850299185
ENSG00000011260,3.686294071,5.298647272,5.3800478,5.570839005,4.796674293,5.702181763
ENSG00000011275,5.682864673,5.72559465,5.948683254,6.259500942,6.512173473,5.836139255
ENSG00000011295,1.729927308,4.143378292,3.752473184,2.682494716,3.686921726,1.977737121
ENSG00000011304,7.043456014,6.462010387,6.08319827,6.502245091,6.247537875,4.740623486
ENSG00000011347,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743,1.977737121
ENSG00000011376,0.491495743,2.041553926,0.491495743,2.682494716,2.583770537,1.977737121
ENSG00000011405,6.215385173,5.394743376,5.634941779,5.769550583,5.941275143,5.836139255
ENSG00000011422,2.459785762,4.349280359,3.51922813,3.748342975,6.688346932,3.170636651
ENSG00000011426,5.529283923,3.253816588,3.51922813,3.236936377,3.403838674,3.81456408
ENSG00000011451,3.655366457,3.903118235,3.240861564,3.852163487,3.504499008,3.528232095
ENSG00000011454,5.64400693,5.797677391,5.948683254,6.696082493,7.079547808,6.646550173
ENSG00000011465,0.491495743,0.491495743,0.491495743,1.268225633,0.491495743,0.491495743
ENSG00000011478,0.491495743,0.491495743,0.491495743,1.268225633,1.118199498,0.491495743
ENSG00000011485,4.358817851,5.084818068,3.752473184,5.37559174,4.094698363,5.554500906
ENSG00000011523,5.328267343,4.143378292,4.129387603,4.489520191,4.24774655,4.258204254
ENSG00000011566,4.605281778,4.143378292,4.675192218,4.67083439,4.796674293,4.258204254
ENSG00000011590,0.491495743,0.491495743,1.773077512,0.491495743,0.83861323,0.491495743
ENSG00000011600,6.194023332,7.558144402,6.88383232,7.56163239,6.973785676,7.056517515
ENSG00000011638,2.596317412,0.491495743,3.240861564,3.382757049,2.983164683,0.491495743
ENSG00000011677,0.747543474,0.491495743,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000012048,1.949785482,4.349280359,5.308608366,4.67083439,5.363818503,4.597025657
ENSG00000012061,4.469636893,3.903118235,3.953204495,4.423638414,3.923465929,4.740623486
ENSG00000012124,4.729261963,5.569632511,4.886198644,5.108384049,4.715001573,4.740623486
ENSG00000012171,0.491495743,0.491495743,1.773077512,2.682494716,2.488673413,0.491495743
ENSG00000012174,0.964924616,0.491495743,0.491495743,1.268225633,0.83861323,0.491495743
ENSG00000012211,0.491495743,2.041553926,0.491495743,3.382757049,2.488673413,1.977737121
ENSG00000012223,2.889971798,3.253816588,4.556860461,3.636467861,5.208351844,0.491495743
ENSG00000012232,0.491495743,3.253816588,3.51922813,3.074702331,5.034085659,1.977737121
ENSG00000012660,5.57957195,6.054621762,5.994929239,5.896402294,6.232941206,5.898725116
ENSG00000012779,5.64400693,6.054621762,5.233446251,6.436955143,6.938235972,5.389960554
ENSG00000012822,5.162196722,5.298647272,5.575314804,6.201709946,7.071366373,6.409218302
ENSG00000012963,5.106118798,0.491495743,3.953204495,4.780173302,3.403838674,4.053370258
ENSG00000012983,4.961908561,5.797677391,6.808147537,6.259500942,6.666787725,5.958708437
ENSG00000013016,6.034918423,5.298647272,6.490737302,6.099929148,7.540080841,5.958708437
ENSG00000013275,4.621374605,5.394743376,4.981154639,5.476515831,4.386104588,5.101519966
ENSG00000013288,2.22720522,0.491495743,3.51922813,2.682494716,4.583109166,1.977737121
ENSG00000013306,7.287378623,6.112294353,7.068162158,5.687715458,4.157878931,6.971720231
ENSG00000013364,6.122328517,6.416948686,6.166376665,6.667904523,7.626379039,5.630230171
ENSG00000013374,5.779253489,5.394743376,5.800324395,5.967483002,5.932268192,6.451584939
ENSG00000013375,0.491495743,2.041553926,2.440884036,2.142135943,1.887709792,0.491495743
ENSG00000013392,0.491495743,0.491495743,1.773077512,0.491495743,0.83861323,0.491495743
ENSG00000013441,6.30778231,5.86632933,6.125386839,6.259500942,7.050707469,6.274099312
ENSG00000013503,1.153799778,0.491495743,2.895625316,1.268225633,2.83639491,1.977737121
ENSG00000013523,3.489925425,2.041553926,2.440884036,1.770364417,1.887709792,0.491495743
ENSG00000013561,4.923485397,5.298647272,6.908203248,5.443652729,4.062039258,5.702181763
ENSG00000013563,3.803772313,3.614691438,1.773077512,3.382757049,3.886638169,2.69412117
ENSG00000013573,0.747543474,2.771436164,0.491495743,2.437467618,2.911645409,0.491495743
ENSG00000013583,4.653031536,3.253816588,3.51922813,3.515182447,3.295624694,4.437538838
ENSG00000013588,1.844040484,2.041553926,0.491495743,0.491495743,0.491495743,0.491495743
ENSG00000013619,1.606006813,0.491495743,0.491495743,1.770364417,0.83861323,0.491495743
ENSG00000013725,2.779574869,3.253816588,0.491495743,2.682494716,4.218408305,2.69412117
ENSG00000013810,8.646913807,5.394743376,5.747275792,5.795828928,7.52817431,5.300072318
ENSG00000014123,4.773138813,5.195690639,4.427948733,5.340318031,3.848845623,4.437538838
ENSG00000014138,4.037605937,2.041553926,1.773077512,2.142135943,3.178630759,3.528232095
ENSG00000014164,2.529666094,0.491495743,3.51922813,3.382757049,3.923465929,3.170636651
