EnsembleID,P3181SPE,S601PE
ENSG00000006831,5.566271411,3.705360201
ENSG00000007038,0.564814766,0.041479546
ENSG00000007047,3.768711125,4.004341832
ENSG00000007080,3.860966148,5.719586567
ENSG00000007129,0.948022465,0.041479546
ENSG00000007168,6.040746067,5.01206828
ENSG00000007174,0.041479546,1.501543852
ENSG00000007202,4.662816507,5.302975271
ENSG00000007237,5.295782508,5.961320456
ENSG00000007255,1.500437039,3.705360201
ENSG00000007264,2.684709857,2.011846248
ENSG00000007312,2.873729037,4.841179732
ENSG00000007341,6.464909389,3.411611281
ENSG00000007350,0.564814766,2.011846248
ENSG00000007372,0.041479546,2.933110579
ENSG00000007376,1.25051005,0.041479546
ENSG00000007392,4.636954991,0.704810885
ENSG00000007516,1.713393569,0.041479546
ENSG00000007520,4.441649138,3.04234942
ENSG00000007541,1.25051005,0.041479546
ENSG00000007545,2.782312853,0.041479546
ENSG00000007923,3.904971746,5.280852059
ENSG00000007933,0.041479546,3.565949184
ENSG00000007944,4.283947761,3.63733799
ENSG00000007968,3.040827583,4.929152766
ENSG00000008018,5.295782508,4.501860092
ENSG00000008056,0.948022465,0.041479546
ENSG00000008083,8.016227139,5.947342519
ENSG00000008086,3.768711125,1.157492132
ENSG00000008128,2.782312853,0.041479546
ENSG00000008130,6.334215572,3.04234942
ENSG00000008256,1.898921006,0.704810885
ENSG00000008277,4.029466056,0.041479546
ENSG00000008282,3.326213081,6.029248117
ENSG00000008283,0.948022465,2.814917713
ENSG00000008294,6.108179896,5.324764348
ENSG00000008323,0.041479546,1.157492132
ENSG00000008324,3.040827583,0.041479546
ENSG00000008382,3.904971746,1.779141081
ENSG00000008394,1.25051005,0.041479546
ENSG00000008405,2.959696209,0.704810885
ENSG00000008438,2.684709857,4.929152766
ENSG00000008441,3.989149932,6.663294296
ENSG00000008513,5.101452684,5.783922056
ENSG00000008516,7.898718629,0.704810885
ENSG00000008517,3.904971746,4.647294863
ENSG00000008710,1.713393569,0.041479546
ENSG00000008838,3.815575932,0.041479546
ENSG00000008853,3.040827583,3.705360201
ENSG00000008869,5.043572682,3.327773936
ENSG00000008952,7.876788038,7.8298276
ENSG00000008988,8.872241242,10.29257382
ENSG00000009307,9.376823658,9.448145512
ENSG00000009335,5.228106949,6.556848084
ENSG00000009413,4.983273164,6.847671214
ENSG00000009694,0.564814766,0.041479546
ENSG00000009724,0.041479546,1.779141081
ENSG00000009780,3.508407343,0.041479546
ENSG00000009790,6.136142344,5.367379435
ENSG00000009830,0.041479546,2.011846248
ENSG00000009844,5.120241248,3.238762444
ENSG00000009950,0.041479546,0.704810885
ENSG00000009954,6.501198781,5.918973676
ENSG00000010017,7.922998509,7.176036943
ENSG00000010030,0.564814766,0.041479546
ENSG00000010072,2.210825039,3.565949184
ENSG00000010165,1.898921006,5.388224045
ENSG00000010219,2.210825039,1.779141081
ENSG00000010244,6.309870764,7.251920296
ENSG00000010256,4.283947761,0.041479546
ENSG00000010270,3.860966148,1.501543852
ENSG00000010278,8.352485082,4.984955832
ENSG00000010292,4.316897294,3.705360201
ENSG00000010295,3.117638349,0.041479546
ENSG00000010318,5.817181051,0.041479546
ENSG00000010322,3.190565518,4.251873293
ENSG00000010327,2.782312853,0.041479546
ENSG00000010361,1.713393569,0.041479546
ENSG00000010379,0.041479546,2.686170825
ENSG00000010404,6.792285397,6.794008481
ENSG00000010438,0.564814766,0.041479546
ENSG00000010539,1.25051005,0.041479546
ENSG00000010610,3.618225683,0.704810885
ENSG00000010626,0.948022465,0.041479546
ENSG00000010671,8.055803836,6.37038811
ENSG00000010704,0.948022465,0.041479546
ENSG00000010803,5.295782508,4.157893529
ENSG00000010810,7.403778579,5.686309959
ENSG00000010818,6.11756106,5.115693109
ENSG00000011007,4.556466841,6.754417871
ENSG00000011009,2.782312853,2.011846248
ENSG00000011021,2.344666112,0.041479546
ENSG00000011028,1.500437039,0.041479546
ENSG00000011105,5.86252158,1.501543852
ENSG00000011114,4.785596056,4.714860015
ENSG00000011132,2.467137833,0.704810885
ENSG00000011143,3.040827583,0.041479546
ENSG00000011198,4.688222586,2.011846248
ENSG00000011201,1.25051005,0.041479546
ENSG00000011243,4.962599946,5.830358217
ENSG00000011258,8.021234008,5.235561109
ENSG00000011260,5.043572682,2.933110579
ENSG00000011275,6.564304479,3.411611281
ENSG00000011295,3.259982973,2.011846248
ENSG00000011304,5.873637511,5.768105146
ENSG00000011347,0.041479546,1.157492132
ENSG00000011376,0.948022465,0.041479546
ENSG00000011405,5.262341517,3.565949184
ENSG00000011422,4.808946097,0.041479546
ENSG00000011426,3.450195503,5.346229234
ENSG00000011451,1.898921006,1.157492132
ENSG00000011454,7.102111194,6.43191388
ENSG00000011478,0.564814766,0.041479546
ENSG00000011485,4.18032806,2.212177794
ENSG00000011523,3.904971746,2.686170825
ENSG00000011566,4.941626177,0.041479546
ENSG00000011600,7.044258142,5.599597095
ENSG00000011638,3.720272691,0.041479546
ENSG00000012048,5.884668449,2.388052975
ENSG00000012061,3.815575932,3.705360201
ENSG00000012124,4.785596056,3.04234942
ENSG00000012171,0.948022465,0.041479546
ENSG00000012174,1.713393569,0.704810885
ENSG00000012211,2.467137833,4.900420372
ENSG00000012223,4.380621229,5.408771768
ENSG00000012232,4.215701366,0.041479546
ENSG00000012660,6.11756106,6.997631174
ENSG00000012779,6.276758501,4.463089291
ENSG00000012822,6.78641569,5.449009561
ENSG00000012963,3.450195503,0.041479546
ENSG00000012983,7.228710125,6.451852889
ENSG00000013016,7.764825408,5.768105146
ENSG00000013275,4.636954991,2.544798606
ENSG00000013288,3.040827583,0.041479546
ENSG00000013293,0.041479546,4.779401972
ENSG00000013297,0.564814766,0.041479546
ENSG00000013306,4.713188991,8.453981714
ENSG00000013364,6.676460037,6.338612459
ENSG00000013374,5.684605517,4.957324088
ENSG00000013375,2.063285685,4.747491891
ENSG00000013392,1.500437039,0.041479546
ENSG00000013441,6.657290861,5.988876489
ENSG00000013503,2.210825039,4.205648527
ENSG00000013523,1.500437039,0.041479546
ENSG00000013561,5.17518196,3.705360201
ENSG00000013563,3.670151268,5.164841747
ENSG00000013573,1.500437039,0.041479546
ENSG00000013583,4.283947761,1.779141081
ENSG00000013619,0.948022465,0.041479546
ENSG00000013725,2.210825039,0.704810885
ENSG00000013810,6.637863549,9.59881871
ENSG00000014123,4.471221538,1.501543852
ENSG00000014138,1.898921006,3.892070439
ENSG00000014164,3.508407343,4.108503505
ENSG00000014216,7.353054857,6.227335328
ENSG00000014257,2.684709857,0.041479546
ENSG00000014641,3.947674704,4.382274572
ENSG00000014824,5.138788265,2.814917713
ENSG00000014914,1.713393569,0.041479546
ENSG00000014919,2.684709857,1.779141081
ENSG00000015133,6.464909389,4.747491891
ENSG00000015153,4.713188991,5.038680589
ENSG00000015171,5.659135095,7.044343178
ENSG00000015285,6.536597706,4.747491891
ENSG00000015475,5.193040221,6.984002298
ENSG00000015479,5.063125167,7.710762838
ENSG00000015532,3.618225683,1.501543852
ENSG00000015568,0.564814766,0.041479546
ENSG00000015676,3.508407343,0.704810885
ENSG00000016864,2.684709857,4.501860092
ENSG00000017260,7.171310303,5.918973676
ENSG00000017427,0.041479546,3.411611281
ENSG00000017483,2.580021453,0.041479546
ENSG00000017797,6.792285397,7.145754226
ENSG00000018189,3.190565518,5.140476712
ENSG00000018280,6.550517605,2.544798606
ENSG00000018408,2.344666112,6.928161614
ENSG00000018510,5.043572682,4.929152766
ENSG00000018610,3.947674704,4.647294863
ENSG00000018699,6.208162937,5.115693109
ENSG00000018869,1.500437039,0.041479546
ENSG00000019102,1.25051005,0.041479546
ENSG00000019169,1.713393569,0.041479546
ENSG00000019186,0.041479546,2.011846248
ENSG00000019485,2.063285685,0.041479546
ENSG00000019582,8.855518791,7.85250523
ENSG00000019991,1.500437039,0.041479546
ENSG00000019995,4.737730682,5.324764348
ENSG00000020129,2.210825039,5.280852059
ENSG00000020181,0.948022465,1.157492132
ENSG00000020256,2.959696209,0.041479546
ENSG00000020426,4.962599946,5.01206828
ENSG00000020577,2.684709857,4.871104102
ENSG00000020633,4.500199917,4.681472934
ENSG00000020922,6.285108087,5.468715288
ENSG00000021300,1.713393569,0.041479546
ENSG00000021355,8.687744919,7.211556606
ENSG00000021574,6.318031431,5.346229234
ENSG00000021762,2.210825039,1.501543852
ENSG00000021776,5.193040221,5.280852059
ENSG00000021826,0.041479546,1.779141081
ENSG00000022267,6.855323508,5.038680589
ENSG00000022277,6.38947172,3.63733799
ENSG00000022556,0.564814766,0.704810885
ENSG00000022567,6.774604143,4.647294863
ENSG00000022840,7.403778579,6.721944049
ENSG00000022976,2.782312853,0.041479546
ENSG00000023041,2.959696209,2.686170825
ENSG00000023171,2.580021453,0.041479546
ENSG00000023191,4.831924228,2.544798606
ENSG00000023228,5.873637511,4.057362515
ENSG00000023287,5.391691865,7.176036943
ENSG00000023318,4.785596056,2.686170825
ENSG00000023330,4.283947761,6.272881204
ENSG00000023445,5.917264054,4.957324088
ENSG00000023516,5.262341517,5.115693109
ENSG00000023572,2.063285685,1.501543852
ENSG00000023608,4.380621229,4.929152766
ENSG00000023697,6.952881466,5.719586567
ENSG00000023734,7.078287048,6.131688816
ENSG00000023839,1.25051005,1.157492132
ENSG00000023892,6.242868368,4.984955832
ENSG00000023902,8.342518745,6.778302369
ENSG00000023909,5.99057319,5.783922056
ENSG00000024048,7.333060809,6.99083283
ENSG00000024422,3.259982973,6.317033094
ENSG00000024526,3.040827583,0.041479546
ENSG00000024862,5.262341517,6.204011582
ENSG00000025039,3.259982973,0.041479546
ENSG00000025156,2.210825039,0.041479546
ENSG00000025293,6.145344006,7.083212439
ENSG00000025434,1.898921006,3.04234942
ENSG00000025708,6.350220172,5.324764348
ENSG00000025770,2.580021453,0.041479546
ENSG00000025772,2.684709857,0.041479546
ENSG00000025796,6.983987873,6.899409275
ENSG00000025800,5.023751563,7.285641069
ENSG00000026025,8.212851938,9.846738027
ENSG00000026036,0.564814766,0.041479546
ENSG00000026103,2.344666112,0.041479546
ENSG00000026297,6.07003306,1.157492132
ENSG00000026508,6.968518505,6.168303347
ENSG00000026559,1.713393569,0.041479546
ENSG00000026652,1.500437039,0.041479546
ENSG00000026751,3.259982973,5.115693109
ENSG00000026950,4.785596056,3.770319097
ENSG00000027001,1.713393569,0.041479546
ENSG00000027075,3.989149932,5.188802116
ENSG00000027697,6.145344006,0.041479546
ENSG00000027847,1.898921006,0.041479546
ENSG00000027869,1.713393569,1.157492132
ENSG00000028116,6.145344006,5.429030942
ENSG00000028137,5.851319335,2.388052975
ENSG00000028203,5.437356895,4.779401972
ENSG00000028277,6.000748326,4.296662856
ENSG00000028310,4.688222586,2.814917713
ENSG00000028528,6.650844114,5.188802116
ENSG00000028839,6.350220172,6.421840075
ENSG00000029153,5.344534038,4.61228741
ENSG00000029363,5.949139451,5.346229234
ENSG00000029364,3.259982973,4.423247727
ENSG00000029534,6.844065013,8.390829915
ENSG00000029639,1.713393569,0.041479546
ENSG00000029725,7.029424977,7.037761922
ENSG00000029993,3.618225683,0.704810885
ENSG00000030066,4.688222586,6.481254042
ENSG00000030110,1.898921006,4.251873293
ENSG00000030419,2.344666112,0.041479546
ENSG00000030582,5.467016509,5.526267215
ENSG00000031003,9.234261055,7.727217435
ENSG00000031081,3.860966148,6.628677599
ENSG00000031691,1.713393569,0.041479546
ENSG00000031698,5.003654324,6.106752471
ENSG00000031823,4.761861868,0.041479546
ENSG00000032219,5.895615682,4.871104102
ENSG00000032389,1.500437039,0.041479546
ENSG00000032444,4.662816507,1.157492132
ENSG00000032742,5.970005061,1.501543852
ENSG00000033011,1.898921006,3.565949184
ENSG00000033030,3.326213081,4.382274572
ENSG00000033050,3.768711125,3.770319097
ENSG00000033100,3.389535734,0.704810885
ENSG00000033170,7.791444868,5.830358217
ENSG00000033178,3.989149932,1.157492132
ENSG00000033327,6.373899016,6.663294296
ENSG00000033627,5.043572682,5.346229234
ENSG00000033800,6.676460037,6.547612623
ENSG00000033867,5.422295251,5.212371041
ENSG00000034053,3.389535734,2.011846248
ENSG00000034152,7.22437493,6.746367686
ENSG00000034510,8.600113487,7.66452042
ENSG00000034533,1.25051005,4.108503505
ENSG00000034677,4.920342989,6.801797879
ENSG00000034693,3.259982973,0.041479546
ENSG00000034713,9.235338668,8.652265455
ENSG00000035115,2.063285685,1.157492132
ENSG00000035141,3.450195503,4.382274572
ENSG00000035403,11.6303273,8.311207342
ENSG00000035499,3.117638349,0.041479546
ENSG00000035664,3.670151268,0.041479546
ENSG00000035681,4.18032806,6.204011582
ENSG00000035687,4.500199917,5.140476712
ENSG00000035720,3.190565518,4.61228741
ENSG00000035862,4.713188991,5.752112904
ENSG00000035928,6.486792376,6.106752471
ENSG00000036054,5.646229247,1.157492132
ENSG00000036257,5.959609978,7.050894548
ENSG00000036448,4.283947761,4.340103662
ENSG00000036530,0.564814766,1.157492132
ENSG00000036549,5.101452684,5.388224045
ENSG00000036672,0.041479546,1.157492132
ENSG00000037042,1.25051005,0.041479546
ENSG00000037241,4.250228074,0.041479546
ENSG00000037280,0.041479546,2.212177794
ENSG00000037474,5.003654324,5.449009561
ENSG00000037637,3.326213081,5.719586567
ENSG00000037749,2.344666112,0.704810885
ENSG00000037757,0.948022465,0.041479546
ENSG00000037897,0.948022465,0.041479546
ENSG00000037965,0.041479546,0.704810885
ENSG00000038002,2.467137833,4.205648527
ENSG00000038210,2.684709857,1.779141081
ENSG00000038219,7.84889752,6.411695433
ENSG00000038274,6.994209397,4.647294863
ENSG00000038295,0.041479546,2.814917713
ENSG00000038358,3.117638349,0.041479546
ENSG00000038382,5.552503411,7.076806518
ENSG00000038427,7.489371255,4.539616181
ENSG00000038532,5.210680126,6.068520692
ENSG00000038945,2.580021453,0.041479546
ENSG00000039068,1.500437039,2.544798606
ENSG00000039123,5.895615682,6.131688816
ENSG00000039319,3.860966148,4.157893529
ENSG00000039523,5.210680126,5.188802116
ENSG00000039560,1.713393569,6.284046498
ENSG00000039650,2.873729037,3.327773936
ENSG00000039987,0.564814766,0.041479546
ENSG00000040199,2.210825039,2.212177794
ENSG00000040275,3.450195503,4.205648527
ENSG00000040341,7.978111282,5.488155479
ENSG00000040487,0.948022465,0.041479546
ENSG00000040531,4.029466056,2.011846248
ENSG00000040608,0.041479546,0.704810885
ENSG00000040633,4.898741117,1.157492132
ENSG00000040933,4.941626177,4.929152766
ENSG00000041353,10.19143437,7.681507833
ENSG00000041357,5.496078629,5.06481088
ENSG00000041802,3.389535734,0.041479546
ENSG00000041880,1.898921006,0.041479546
ENSG00000041988,0.948022465,2.212177794
ENSG00000042062,3.618225683,2.814917713
ENSG00000042088,2.344666112,4.714860015
ENSG00000042286,1.500437039,0.041479546
ENSG00000042317,2.467137833,4.157893529
ENSG00000042429,3.190565518,0.041479546
ENSG00000042445,0.564814766,0.041479546
ENSG00000042493,4.688222586,0.704810885
ENSG00000042753,5.697174061,4.984955832
ENSG00000042832,1.500437039,0.041479546
ENSG00000042980,2.782312853,0.041479546
ENSG00000043093,7.731609038,7.759574094
ENSG00000043143,4.962599946,6.847671214
ENSG00000043462,7.734660509,4.810621501
ENSG00000043514,2.684709857,0.041479546
