EnsembleID,P3256PE,P3013PE,P3302PE,P3078PE
ENSG00000183092,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000183111,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183117,1.088752109,1.748513077,1.088752109,1.088752109
ENSG00000183134,1.549975946,1.088752109,1.088752109,1.944494569
ENSG00000183137,4.18200527,4.870747381,3.558177786,4.510484132
ENSG00000183145,1.549975946,1.088752109,2.418015942,1.088752109
ENSG00000183150,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183155,3.223098796,3.853906719,3.097915969,1.944494569
ENSG00000183160,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183161,3.341861528,1.456022994,3.558177786,2.477977306
ENSG00000183171,1.088752109,1.456022994,2.418015942,1.944494569
ENSG00000183172,3.648786975,5.04253149,3.558177786,4.615568118
ENSG00000183199,1.898922375,1.456022994,1.088752109,2.866569266
ENSG00000183206,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000183207,4.304058266,3.584080617,4.186989936,4.615568118
ENSG00000183208,1.088752109,1.088752109,2.418015942,2.477977306
ENSG00000183230,1.088752109,1.456022994,1.088752109,1.944494569
ENSG00000183246,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000183248,2.17969193,1.088752109,3.097915969,1.088752109
ENSG00000183255,7.2701478,9.455285607,6.715419478,8.722214719
ENSG00000183258,5.47870341,5.577612291,4.623462389,5.497616523
ENSG00000183260,1.549975946,1.456022994,1.088752109,1.088752109
ENSG00000183281,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183283,8.04945624,9.842994568,7.166865473,9.68274956
ENSG00000183287,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183291,4.304058266,5.312524935,1.088752109,4.510484132
ENSG00000183298,1.898922375,1.088752109,1.088752109,2.477977306
ENSG00000183307,1.898922375,1.456022994,3.097915969,1.088752109
ENSG00000183308,1.549975946,1.456022994,1.088752109,1.088752109
ENSG00000183309,4.753005636,3.051894838,4.623462389,4.274126854
ENSG00000183317,2.17969193,1.088752109,1.088752109,1.088752109
ENSG00000183323,3.822244802,3.25190465,3.906575275,3.424592397
ENSG00000183337,5.371099241,6.140996576,5.828419435,4.713514853
ENSG00000183340,3.553553716,3.50792863,3.906575275,3.825969194
ENSG00000183347,1.549975946,1.088752109,2.418015942,1.088752109
ENSG00000183354,6.229552672,5.801469318,6.188063022,5.749286904
ENSG00000183386,3.553553716,3.051894838,4.186989936,2.477977306
ENSG00000183397,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183401,3.901732235,2.687771322,2.418015942,2.866569266
ENSG00000183423,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183426,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000183431,6.289890839,4.710101489,4.623462389,6.571705284
ENSG00000183439,1.088752109,1.088752109,1.088752109,1.944494569
ENSG00000183444,1.898922375,1.088752109,2.418015942,1.088752109
ENSG00000183458,1.549975946,1.088752109,3.097915969,1.088752109
ENSG00000183474,2.414620149,2.199544088,1.088752109,3.172394178
ENSG00000183475,4.18200527,4.081130851,4.186989936,3.991311731
ENSG00000183484,4.18200527,2.199544088,5.100197867,3.424592397
ENSG00000183486,6.24487544,3.656413694,5.655029262,4.891466204
ENSG00000183495,6.34780645,4.132754571,6.958729125,5.881595221
ENSG00000183496,1.898922375,2.542644991,2.418015942,1.088752109
ENSG00000183506,2.616596106,1.456022994,1.088752109,1.088752109
ENSG00000183508,10.09565211,9.875557039,7.404584589,9.116162969
ENSG00000183513,4.709488119,4.675708497,4.623462389,5.441549909
ENSG00000183520,4.570457651,3.427531898,3.558177786,4.615568118
ENSG00000183527,3.093675361,2.199544088,1.088752109,1.088752109
ENSG00000183530,6.182583026,4.450118142,5.90787848,4.972834917
ENSG00000183542,1.898922375,1.088752109,2.418015942,1.944494569
ENSG00000183570,1.549975946,1.088752109,1.088752109,2.866569266
ENSG00000183576,5.977733862,7.648720411,5.655029262,6.345978993
ENSG00000183579,1.549975946,2.381270101,2.418015942,1.088752109
ENSG00000183597,4.469721099,6.821669141,4.186989936,5.049858379
ENSG00000183598,2.17969193,1.748513077,1.088752109,1.088752109
ENSG00000183604,2.414620149,1.748513077,4.421669871,2.866569266
ENSG00000183605,2.414620149,1.456022994,2.418015942,1.944494569
ENSG00000183617,3.451586945,2.819623921,2.418015942,3.172394178
ENSG00000183621,6.83665735,8.263734304,5.229546028,7.247473196
ENSG00000183624,3.738121214,1.748513077,3.097915969,4.615568118
ENSG00000183625,1.549975946,1.088752109,1.088752109,1.944494569
ENSG00000183647,1.549975946,1.088752109,2.418015942,2.477977306
ENSG00000183648,5.602819606,5.069273918,4.800462183,6.041016903
ENSG00000183655,1.088752109,1.748513077,1.088752109,1.088752109
ENSG00000183665,2.616596106,1.456022994,2.418015942,1.088752109
ENSG00000183666,2.793736963,1.748513077,3.906575275,2.477977306
ENSG00000183668,2.414620149,2.199544088,1.088752109,1.944494569
ENSG00000183671,1.088752109,1.748513077,1.088752109,1.088752109
ENSG00000183684,4.304058266,2.199544088,3.906575275,4.713514853
ENSG00000183688,6.214065413,6.516258108,6.188063022,5.497616523
ENSG00000183690,4.989690367,7.542980935,3.906575275,5.963507008
ENSG00000183691,2.793736963,1.991583045,2.418015942,1.088752109
ENSG00000183696,4.18200527,2.542644991,4.186989936,2.866569266
ENSG00000183718,5.025620765,1.748513077,4.800462183,3.639194549
ENSG00000183722,2.17969193,4.081130851,2.418015942,3.424592397
ENSG00000183723,2.17969193,2.687771322,3.558177786,1.088752109
ENSG00000183726,7.432853682,9.765392861,5.90787848,9.102668601
ENSG00000183734,2.414620149,1.748513077,1.088752109,1.944494569
ENSG00000183735,6.403486548,7.28228133,4.186989936,7.542217227
ENSG00000183741,5.398762,4.743693627,5.828419435,5.049858379
ENSG00000183742,2.414620149,3.051894838,3.558177786,3.424592397
ENSG00000183747,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000183751,3.093675361,1.991583045,3.558177786,1.944494569
ENSG00000183762,3.223098796,1.748513077,3.097915969,1.088752109
ENSG00000183763,2.17969193,1.456022994,1.088752109,1.088752109
ENSG00000183765,3.553553716,3.791032436,2.418015942,3.639194549
ENSG00000183773,2.414620149,2.381270101,1.088752109,2.477977306
ENSG00000183778,1.088752109,1.088752109,1.088752109,1.944494569
ENSG00000183779,3.093675361,2.381270101,3.906575275,3.825969194
ENSG00000183784,1.549975946,1.991583045,2.418015942,1.088752109
ENSG00000183785,3.451586945,7.241712712,3.097915969,6.405806943
ENSG00000183808,4.570457651,3.155363047,4.800462183,2.866569266
ENSG00000183813,4.244322104,6.128335649,4.186989936,3.639194549
ENSG00000183814,3.553553716,4.450118142,3.097915969,4.397140402
ENSG00000183826,3.97706794,3.155363047,4.623462389,2.866569266
ENSG00000183828,2.616596106,1.088752109,2.418015942,3.172394178
ENSG00000183831,1.549975946,2.687771322,1.088752109,2.477977306
ENSG00000183833,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183837,2.616596106,1.088752109,1.088752109,1.088752109
ENSG00000183840,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183844,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000183850,1.088752109,2.940428732,1.088752109,1.944494569
ENSG00000183853,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000183856,2.414620149,1.456022994,1.088752109,1.088752109
ENSG00000183864,5.128335926,2.381270101,5.348245381,4.510484132
ENSG00000183891,1.549975946,1.456022994,2.418015942,1.088752109
ENSG00000183914,2.793736963,3.584080617,2.418015942,2.866569266
ENSG00000183918,4.11687468,3.914154919,1.088752109,2.477977306
ENSG00000183935,1.898922375,1.088752109,1.088752109,1.088752109
ENSG00000183943,6.083791226,4.132754571,5.229546028,4.891466204
ENSG00000183955,4.244322104,4.366337122,3.558177786,5.122977247
ENSG00000183960,2.17969193,1.748513077,1.088752109,2.477977306
ENSG00000183963,3.341861528,5.967046914,2.418015942,4.274126854
ENSG00000183978,3.223098796,3.155363047,2.418015942,2.477977306
ENSG00000183979,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000184005,1.549975946,1.456022994,2.418015942,2.477977306
ENSG00000184007,8.40361045,10.44354807,7.78734022,9.523079562
ENSG00000184009,9.736444921,11.26657327,10.00631936,10.82890859
ENSG00000184014,6.260037175,4.675708497,5.983188686,5.19256837
ENSG00000184047,3.822244802,2.940428732,3.097915969,2.477977306
ENSG00000184056,3.451586945,1.991583045,4.800462183,2.866569266
ENSG00000184058,1.088752109,1.088752109,1.088752109,1.944494569
ENSG00000184060,4.18200527,2.381270101,1.088752109,2.866569266
ENSG00000184068,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000184076,5.060678016,6.284846938,3.906575275,6.648008992
ENSG00000184083,3.553553716,1.748513077,3.097915969,2.477977306
ENSG00000184100,2.17969193,1.088752109,1.088752109,1.944494569
ENSG00000184106,2.951486868,1.748513077,1.088752109,3.172394178
ENSG00000184110,3.97706794,2.542644991,3.097915969,2.866569266
ENSG00000184113,3.341861528,6.905681764,4.421669871,4.972834917
ENSG00000184117,3.451586945,1.991583045,4.186989936,1.944494569
ENSG00000184154,1.549975946,2.542644991,2.418015942,1.088752109
ENSG00000184162,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000184164,3.093675361,1.748513077,3.558177786,3.639194549
ENSG00000184178,6.304589162,8.174180458,5.559836752,8.662152565
ENSG00000184182,6.417077161,8.572608192,4.800462183,7.669707248
ENSG00000184185,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000184203,5.843261986,5.267045676,5.457916698,5.258956541
ENSG00000184205,5.863256813,6.190557592,5.828419435,4.8052325
ENSG00000184206,1.549975946,1.456022994,1.088752109,1.088752109
ENSG00000184207,3.341861528,1.456022994,3.558177786,1.088752109
ENSG00000184208,4.836290223,3.25190465,3.097915969,4.615568118
ENSG00000184209,4.570457651,4.640475531,3.906575275,5.258956541
ENSG00000184216,5.425904307,4.182594687,5.457916698,5.258956541
ENSG00000184220,3.093675361,2.199544088,1.088752109,4.139638344
ENSG00000184221,1.898922375,1.456022994,2.418015942,1.088752109
ENSG00000184226,4.520968441,6.190557592,4.958100236,3.424592397
ENSG00000184232,1.898922375,1.456022994,1.088752109,1.088752109
ENSG00000184258,1.088752109,1.088752109,1.088752109,2.477977306
ENSG00000184260,5.425904307,4.987511928,5.828419435,5.322423668
ENSG00000184261,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000184270,4.469721099,3.427531898,2.418015942,3.639194549
ENSG00000184271,2.793736963,1.088752109,3.558177786,1.088752109
ENSG00000184277,4.304058266,4.081130851,2.418015942,3.172394178
ENSG00000184281,3.093675361,2.687771322,3.097915969,3.424592397
ENSG00000184292,1.088752109,1.748513077,2.418015942,2.477977306
ENSG00000184293,2.17969193,1.088752109,2.418015942,1.944494569
ENSG00000184304,1.088752109,1.748513077,1.088752109,1.944494569
ENSG00000184305,3.341861528,5.146649673,1.088752109,3.825969194
ENSG00000184307,2.793736963,1.088752109,2.418015942,1.088752109
ENSG00000184319,3.648786975,4.870747381,2.418015942,3.639194549
ENSG00000184347,1.898922375,1.088752109,1.088752109,1.088752109
ENSG00000184349,1.549975946,1.088752109,1.088752109,2.477977306
ENSG00000184357,4.520968441,3.342389135,3.558177786,3.639194549
ENSG00000184368,2.793736963,1.088752109,1.088752109,1.088752109
ENSG00000184371,3.223098796,1.991583045,2.418015942,1.088752109
ENSG00000184378,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000184381,3.97706794,1.088752109,3.097915969,1.088752109
ENSG00000184384,5.717098698,3.155363047,5.229546028,5.322423668
