EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000006530,2.39752232,4.959398801,3.579413189,4.143143891
ENSG00000006534,2.199859906,4.720008595,4.702055223,4.143143891
ENSG00000006555,1.362028924,1.362028924,1.362028924,2.482889605
ENSG00000006576,7.172350276,4.073925384,5.047308503,5.386345752
ENSG00000006607,6.287781902,1.362028924,6.042400591,5.077840659
ENSG00000006625,2.726445499,3.595062759,4.057074522,1.362028924
ENSG00000006634,4.634196984,1.362028924,3.579413189,3.968626535
ENSG00000006638,6.184513253,1.362028924,5.146190752,4.143143891
ENSG00000006652,9.052035273,3.595062759,7.517292985,7.371855412
ENSG00000006659,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000006695,1.698259332,2.873298476,3.579413189,2.482889605
ENSG00000006712,4.511549935,5.164662069,3.579413189,5.386345752
ENSG00000006715,7.218826414,5.778644789,6.443302689,6.129496095
