EnsembleID,P3180PE,P3262PE,P3127PE,P3282PE,P3314SPE,P3228SPE,P3150SPE,P3183PE,P3077PE,P3233SPE
ENSG00000005108,1.574066796,2.382052177,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000005156,3.754163514,4.38268236,3.900652216,4.047987249,1.574066796,4.208837981,1.574066796,3.71335061,4.113747026,5.124809365
ENSG00000005175,6.659994213,6.083267466,5.420783123,5.448523715,5.003183857,4.714215374,1.574066796,6.478366882,6.140723997,4.242947895
ENSG00000005187,3.479797444,2.382052177,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,4.242947895
ENSG00000005189,3.10196169,2.382052177,1.574066796,4.047987249,1.574066796,1.574066796,1.574066796,1.574066796,2.329210893,4.750235845
ENSG00000005194,3.021210613,4.219158426,4.24193384,4.047987249,3.663934896,1.574066796,4.275709168,1.574066796,3.48141923,4.242947895
ENSG00000005206,3.963139927,1.574066796,3.452770467,3.286775746,1.574066796,1.574066796,5.160332126,1.574066796,1.574066796,1.574066796
ENSG00000005238,5.62879187,4.66282734,5.667007285,6.613582466,5.384341868,5.83992976,5.160332126,6.705587537,4.275039391,5.124809365
ENSG00000005243,1.784419047,2.382052177,2.799787412,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000005249,11.79268307,10.02261645,11.27045913,10.27295129,10.03663402,9.590501333,9.251438093,9.822390683,10.92280126,9.954658545
ENSG00000005302,5.185640594,4.784831887,2.799787412,4.911924638,5.003183857,4.208837981,1.574066796,4.824055498,5.074486769,5.668140141
ENSG00000005339,7.194359528,7.001768009,7.688326393,7.312521569,6.495970723,7.880793626,6.408328177,5.995801617,6.939910113,6.370913147
ENSG00000005379,5.266691331,2.382052177,4.24193384,1.574066796,4.483683049,3.424219297,1.574066796,3.008476976,2.329210893,3.453646688
ENSG00000005381,2.471956584,3.575169918,3.900652216,5.448523715,1.574066796,3.424219297,4.275709168,3.71335061,3.189200783,5.124809365
ENSG00000005436,3.539003883,3.27552481,2.799787412,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,3.607965735,4.242947895
ENSG00000005448,2.205773863,1.574066796,1.574066796,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,3.017408437,1.574066796
ENSG00000005469,2.935670317,2.382052177,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,3.724301768,1.574066796
ENSG00000005471,3.140703201,1.574066796,1.574066796,1.574066796,4.483683049,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000005483,8.11420691,7.794686228,7.233212958,7.114935418,6.643206751,7.503001001,7.067309535,7.179207332,8.286357505,7.114916817
ENSG00000005486,3.677189534,3.575169918,2.799787412,3.286775746,1.574066796,3.424219297,1.574066796,1.574066796,3.342696013,1.574066796
ENSG00000005700,5.594315785,5.575445567,5.123708744,3.286775746,1.574066796,4.208837981,4.275709168,3.71335061,5.457296902,4.242947895
ENSG00000005801,2.696593603,3.27552481,1.574066796,4.047987249,1.574066796,3.424219297,5.704689849,3.008476976,2.329210893,1.574066796
ENSG00000005810,8.345308703,7.122400456,7.769631108,6.800733833,5.68555368,7.07523553,6.662909067,6.39391192,7.382040218,5.878413741
ENSG00000005812,7.031249645,6.13006374,5.279879018,6.613582466,4.483683049,6.464475176,4.275709168,5.061591591,6.372335427,6.061902425
ENSG00000005844,6.901904101,5.001665452,5.549141713,5.448523715,5.9346101,5.087751037,4.275709168,5.74616741,5.423275775,6.50369062
ENSG00000005882,5.157579216,2.382052177,4.24193384,1.574066796,3.663934896,4.714215374,1.574066796,4.824055498,3.724301768,4.750235845
ENSG00000005884,2.130777648,1.574066796,1.574066796,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000005889,4.888375604,4.529544072,4.24193384,4.911924638,5.68555368,5.087751037,4.275709168,5.26549101,5.029966358,4.750235845
ENSG00000005893,5.74649944,4.219158426,5.667007285,4.047987249,5.9346101,4.714215374,4.275709168,1.574066796,4.61353892,5.668140141
ENSG00000005961,11.55791159,8.208517825,12.50048409,10.45822425,10.26981924,10.41813665,10.8951579,8.965234889,9.0727943,10.55357671
ENSG00000006007,6.663324218,5.879243759,6.298483796,5.656794908,5.384341868,6.801937273,4.275709168,5.876377168,5.117674343,5.421902862
ENSG00000006015,3.82723779,3.27552481,3.452770467,4.047987249,1.574066796,1.574066796,1.574066796,3.71335061,3.017408437,1.574066796
ENSG00000006025,3.479797444,2.896877456,1.574066796,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000006059,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.453646688
ENSG00000006062,4.237867194,4.784831887,4.517727852,4.543681726,5.003183857,3.424219297,1.574066796,4.824055498,4.836725756,1.574066796
ENSG00000006071,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.424219297,4.275709168,3.008476976,1.574066796,1.574066796
ENSG00000006116,1.683073334,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000006118,1.683073334,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000006125,8.254391188,7.275948889,7.541724893,7.114935418,7.116302587,7.232343295,5.704689849,7.276765738,7.580311288,6.737397506
ENSG00000006194,3.353555515,3.27552481,3.452770467,4.047987249,1.574066796,4.208837981,1.574066796,3.71335061,4.275039391,4.750235845
ENSG00000006210,1.784419047,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,4.750235845
ENSG00000006282,2.74768364,2.382052177,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000006327,1.967967594,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,1.574066796
ENSG00000006432,2.531479112,2.896877456,2.799787412,1.574066796,1.574066796,1.574066796,1.574066796,3.71335061,2.822358931,1.574066796
ENSG00000006451,4.067364124,5.433417058,2.799787412,5.448523715,1.574066796,3.424219297,5.704689849,5.444109091,5.889814472,5.124809365
ENSG00000006453,1.683073334,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000006459,7.257414454,7.026714952,5.877271324,7.24961901,6.331982488,7.07523553,7.23367136,7.074570229,5.813067921,4.750235845
ENSG00000006530,3.449257411,3.823155467,2.799787412,1.574066796,4.483683049,3.424219297,1.574066796,3.008476976,2.329210893,4.750235845
ENSG00000006534,3.320190157,2.382052177,3.452770467,1.574066796,1.574066796,3.424219297,4.275709168,3.008476976,4.025792518,5.668140141
ENSG00000006555,2.696593603,3.27552481,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,3.008476976,2.000492674,1.574066796
ENSG00000006576,6.999984106,5.433417058,6.223509974,3.286775746,3.663934896,1.574066796,1.574066796,4.184802157,5.490534204,5.421902862
ENSG00000006607,5.089898744,5.433417058,5.549141713,4.543681726,4.483683049,1.574066796,1.574066796,6.106091588,6.202204952,5.668140141
ENSG00000006625,2.643627685,2.896877456,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.607965735,1.574066796
ENSG00000006634,3.963139927,4.784831887,3.452770467,3.286775746,4.483683049,4.208837981,1.574066796,3.008476976,4.55189651,4.750235845
ENSG00000006638,6.686421493,4.38268236,7.07161014,6.277573318,5.68555368,4.208837981,7.23367136,5.26549101,5.523022985,4.750235845
ENSG00000006652,8.049509103,7.809137581,7.943220299,6.277573318,6.899060893,6.023170102,6.662909067,6.558150098,7.795066422,6.224665391
ENSG00000006659,1.574066796,2.382052177,1.574066796,1.574066796,1.574066796,3.424219297,1.574066796,4.539549294,2.000492674,1.574066796
ENSG00000006695,3.062151057,1.574066796,2.799787412,1.574066796,3.663934896,4.208837981,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000006704,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,4.184802157,1.574066796,1.574066796
ENSG00000006712,5.089898744,5.098971572,3.900652216,3.286775746,5.9346101,5.629982372,1.574066796,4.539549294,5.675322179,5.421902862
ENSG00000006715,7.657088777,6.597860023,7.233212958,5.838757611,7.213772809,5.83992976,5.704689849,5.995801617,6.524502878,5.878413741
ENSG00000006740,1.574066796,2.382052177,1.574066796,1.574066796,1.574066796,1.574066796,5.160332126,4.184802157,1.574066796,3.453646688
ENSG00000006744,4.219887489,4.034701779,3.452770467,3.286775746,1.574066796,1.574066796,4.275709168,3.008476976,3.189200783,1.574066796
ENSG00000006747,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000006756,2.979074354,2.896877456,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.822358931,1.574066796
ENSG00000006757,1.784419047,2.896877456,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.71335061,2.596754359,4.242947895
ENSG00000006831,6.686421493,5.098971572,6.144425314,4.911924638,5.9346101,5.087751037,5.704689849,5.26549101,4.836725756,5.124809365
ENSG00000006837,1.879110376,1.574066796,1.574066796,4.047987249,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000007038,1.879110376,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,4.242947895
ENSG00000007047,4.853815964,4.784831887,4.24193384,4.911924638,4.483683049,4.714215374,6.408328177,4.184802157,4.196646083,6.061902425
ENSG00000007062,1.683073334,1.574066796,1.574066796,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000007080,3.703306518,4.034701779,5.420783123,4.911924638,1.574066796,4.714215374,1.574066796,3.008476976,5.523022985,5.878413741
ENSG00000007129,2.531479112,2.382052177,2.799787412,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000007168,6.319393951,5.575445567,5.971926951,6.277573318,5.9346101,5.384192606,6.0989882,5.74616741,5.646121452,6.061902425
ENSG00000007174,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,5.160332126,1.574066796,1.574066796,1.574066796
ENSG00000007202,5.537380855,4.529544072,5.877271324,4.543681726,4.483683049,4.208837981,4.275709168,4.539549294,4.61353892,3.453646688
ENSG00000007237,4.542751601,5.356790246,4.517727852,4.543681726,5.003183857,5.087751037,1.574066796,4.184802157,4.61353892,3.453646688
ENSG00000007255,2.130777648,1.574066796,1.574066796,1.574066796,1.574066796,4.714215374,1.574066796,3.008476976,2.822358931,1.574066796
ENSG00000007264,3.353555515,5.098971572,4.517727852,4.911924638,3.663934896,1.574066796,4.275709168,4.184802157,4.729443953,5.668140141
ENSG00000007312,4.374166168,2.896877456,4.517727852,1.574066796,1.574066796,3.424219297,1.574066796,1.574066796,2.822358931,1.574066796
ENSG00000007314,1.683073334,1.574066796,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000007341,6.250215975,5.984859201,5.123708744,5.448523715,3.663934896,3.424219297,4.275709168,6.478366882,6.222129843,4.750235845
ENSG00000007350,1.967967594,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.329210893,1.574066796
ENSG00000007372,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.71335061,1.574066796,3.453646688
ENSG00000007376,2.74768364,1.574066796,2.799787412,4.047987249,1.574066796,4.208837981,4.275709168,1.574066796,3.48141923,1.574066796
ENSG00000007384,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000007392,5.889847605,4.034701779,3.452770467,3.286775746,1.574066796,3.424219297,1.574066796,5.061591591,4.275039391,3.453646688
ENSG00000007402,2.643627685,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000007516,2.130777648,1.574066796,1.574066796,1.574066796,3.663934896,4.208837981,1.574066796,3.008476976,2.329210893,4.242947895
ENSG00000007520,3.418056877,4.897318536,4.749165676,4.543681726,1.574066796,5.384192606,1.574066796,3.008476976,5.117674343,1.574066796
ENSG00000007541,3.215198272,2.382052177,3.452770467,1.574066796,1.574066796,3.424219297,1.574066796,3.71335061,1.574066796,1.574066796
ENSG00000007545,3.778935147,3.575169918,2.799787412,1.574066796,1.574066796,1.574066796,4.275709168,1.574066796,3.48141923,1.574066796
ENSG00000007866,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,3.424219297,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000007923,4.25562558,3.823155467,4.948557782,4.047987249,1.574066796,4.208837981,1.574066796,5.26549101,4.275039391,1.574066796
ENSG00000007944,3.623492907,4.034701779,2.799787412,4.047987249,1.574066796,1.574066796,5.160332126,4.539549294,3.724301768,3.453646688
ENSG00000007968,2.588642865,5.356790246,4.948557782,6.000319068,3.663934896,4.208837981,1.574066796,6.558150098,3.607965735,3.453646688
ENSG00000008018,4.830307532,5.879243759,5.420783123,4.911924638,5.384341868,4.714215374,1.574066796,5.74616741,5.646121452,3.453646688
ENSG00000008083,8.588907402,6.924229521,8.199435689,8.359778729,7.305072515,6.697980354,5.160332126,7.228811019,7.872751105,7.272115759
ENSG00000008086,4.542751601,3.575169918,2.799787412,3.286775746,3.663934896,1.574066796,1.574066796,1.574066796,3.017408437,4.242947895
ENSG00000008128,3.778935147,3.575169918,1.574066796,4.543681726,1.574066796,3.424219297,1.574066796,3.71335061,2.596754359,1.574066796
ENSG00000008130,5.351709713,6.083267466,5.549141713,5.656794908,4.483683049,5.384192606,5.160332126,5.26549101,5.864683201,5.124809365
ENSG00000008226,2.130777648,2.382052177,2.799787412,3.286775746,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000008256,2.74768364,2.382052177,2.799787412,4.047987249,5.384341868,5.087751037,1.574066796,4.184802157,2.596754359,1.574066796
ENSG00000008277,3.449257411,4.219158426,2.799787412,1.574066796,3.663934896,1.574066796,1.574066796,4.539549294,2.822358931,1.574066796
ENSG00000008282,3.703306518,3.27552481,3.452770467,1.574066796,3.663934896,1.574066796,1.574066796,1.574066796,3.189200783,1.574066796
ENSG00000008283,2.797026138,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000008294,5.956511725,5.765281452,4.517727852,4.911924638,3.663934896,5.629982372,4.275709168,4.824055498,5.523022985,3.453646688
ENSG00000008300,2.471956584,1.574066796,1.574066796,1.574066796,3.663934896,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000008311,2.205773863,2.382052177,3.452770467,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,2.596754359,1.574066796
ENSG00000008324,2.130777648,3.27552481,2.799787412,3.286775746,3.663934896,4.714215374,4.275709168,4.184802157,3.724301768,1.574066796
ENSG00000008382,3.963139927,4.66282734,2.799787412,4.543681726,4.483683049,3.424219297,1.574066796,3.71335061,4.729443953,4.750235845
ENSG00000008394,2.130777648,1.574066796,1.574066796,1.574066796,1.574066796,4.208837981,1.574066796,1.574066796,2.000492674,1.574066796
ENSG00000008405,3.10196169,3.27552481,1.574066796,1.574066796,1.574066796,1.574066796,4.275709168,3.008476976,2.000492674,1.574066796
ENSG00000008438,1.879110376,2.382052177,3.900652216,4.047987249,3.663934896,4.208837981,1.574066796,4.184802157,2.596754359,4.242947895
ENSG00000008441,3.251051278,5.765281452,5.123708744,6.277573318,5.384341868,1.574066796,5.704689849,7.411748814,4.984028216,4.242947895
ENSG00000008513,6.289535895,5.506178386,5.123708744,6.800733833,4.483683049,4.208837981,4.275709168,6.478366882,4.196646083,6.061902425
ENSG00000008516,4.542751601,5.275864083,4.749165676,4.543681726,1.574066796,4.714215374,1.574066796,5.26549101,2.000492674,4.242947895
ENSG00000008517,3.873975474,6.420976361,5.420783123,5.205029659,5.003183857,4.208837981,1.574066796,5.876377168,5.732008189,3.453646688
ENSG00000008710,4.613319149,2.896877456,3.452770467,1.574066796,1.574066796,3.424219297,4.275709168,5.061591591,2.000492674,1.574066796
ENSG00000008735,1.683073334,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796,1.574066796
ENSG00000008838,4.324550736,4.034701779,5.123708744,1.574066796,5.003183857,1.574066796,1.574066796,4.184802157,4.349391598,4.750235845
ENSG00000008853,4.145640486,4.219158426,4.749165676,5.838757611,4.483683049,5.087751037,4.275709168,4.184802157,4.887516136,4.242947895
ENSG00000008869,5.44753015,4.66282734,4.517727852,3.286775746,5.003183857,5.087751037,1.574066796,3.71335061,4.836725756,3.453646688
ENSG00000008952,7.609545931,9.116626161,7.1546731,7.372795731,6.776798198,6.464475176,7.067309535,9.38178144,8.342047613,7.344726163
ENSG00000008988,7.7063468,9.916495669,8.746427241,9.426149729,8.574366221,9.404856514,8.95051888,9.279570706,9.045097665,9.46166363
ENSG00000009307,9.794318878,9.395709896,9.500711195,9.292110898,8.53718803,8.361003974,8.29657373,9.487453053,9.402433416,8.650710829
ENSG00000009335,5.44753015,5.765281452,3.900652216,5.656794908,4.483683049,5.087751037,4.275709168,4.539549294,4.61353892,5.124809365
