EnsembleID,P3234PE,P3200PE,P3322PE,P3125PE,P3360SPE.1,P3174PE,S586PE
ENSG00000008516,6.277532928,3.684857269,4.698249073,2.985988394,5.420557875,4.093833879,5.048643009
ENSG00000008517,5.229532612,4.364346456,4.698249073,5.333997471,6.38596832,6.694729115,6.891713533
ENSG00000008710,3.000500245,2.357246082,4.168600383,2.314989466,3.142330303,1.021011534,2.04562814
ENSG00000008838,4.392576803,3.684857269,4.168600383,4.300808666,3.142330303,4.825768459,4.852945404
ENSG00000008853,3.568997272,3.995929064,5.0848135,2.314989466,3.612301316,4.620480143,5.33036381
ENSG00000008869,5.53303445,5.291463799,4.698249073,4.067181446,4.869375002,3.255846671,5.711766525
ENSG00000008952,8.11822162,8.659366987,7.816262376,7.928703101,9.845567788,9.573357827,7.997807904
ENSG00000008988,8.824001601,9.320825776,9.426384985,9.200693806,9.339947024,10.32297666,10.7601209
ENSG00000009307,9.640066773,9.444519577,8.558235558,9.540302275,9.221689714,9.375145556,9.597178661
ENSG00000009335,5.269508111,4.973968265,5.0848135,4.835386599,4.869375002,4.825768459,5.553113975
ENSG00000009413,5.146096797,4.901131888,4.168600383,5.106126332,4.690968247,3.73484667,6.573394412
ENSG00000009694,1.920763351,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000009709,1.021011534,1.021011534,3.322852718,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000009724,1.021011534,1.021011534,3.322852718,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000009765,1.021011534,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000009780,3.525637768,3.499916977,1.021011534,2.985988394,4.250182126,2.5337666,4.099589675
ENSG00000009790,6.36623476,6.49544965,5.854714557,6.795144736,7.454777684,7.252554928,6.086271311
ENSG00000009830,1.450009315,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000009844,5.765129611,5.347364185,1.021011534,4.97709813,4.869375002,5.005451055,5.723277423
ENSG00000009954,6.961859544,6.845254445,6.205997855,6.589804648,6.198315671,6.271627933,6.390559261
ENSG00000010017,8.334665865,7.709881079,6.611086461,7.893379554,7.562497833,4.620480143,5.700163045
ENSG00000010030,1.450009315,1.021011534,1.021011534,1.021011534,3.142330303,1.021011534,1.021011534
ENSG00000010072,2.166390961,3.287734011,3.322852718,3.442193525,1.021011534,1.021011534,4.601740479
ENSG00000010165,2.935722994,2.73794616,3.322852718,1.021011534,3.142330303,1.021011534,4.550966179
ENSG00000010219,2.86789994,3.287734011,1.021011534,1.021011534,3.142330303,1.021011534,3.694336628
ENSG00000010244,6.829946932,6.066419772,4.698249073,5.435718819,6.443461027,5.959142609,6.592349777
ENSG00000010256,3.804901031,5.453058685,4.168600383,5.435718819,3.612301316,5.959142609,5.315230554
ENSG00000010270,3.804901031,3.684857269,1.021011534,3.788269875,3.966212742,4.093833879,2.73282405
ENSG00000010278,9.041628212,8.163548894,6.35402962,8.045939156,7.662730764,5.670401583,3.740383555
ENSG00000010292,4.790770258,5.889447359,5.64072965,3.788269875,4.487344268,4.381055846,5.33036381
ENSG00000010295,3.804901031,2.73794616,1.021011534,3.442193525,3.966212742,3.255846671,4.626472872
ENSG00000010310,1.450009315,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000010318,6.04396154,5.109458677,3.322852718,5.106126332,3.612301316,2.5337666,1.520556383
ENSG00000010319,1.251397792,2.357246082,1.021011534,2.985988394,2.440797094,1.021011534,2.638703712
ENSG00000010322,4.038774731,3.848761081,3.322852718,1.021011534,4.487344268,4.381055846,5.237087428
ENSG00000010327,2.86789994,3.995929064,3.322852718,2.985988394,4.250182126,1.021011534,3.646771414
ENSG00000010361,2.048798304,1.838599807,4.698249073,1.021011534,1.021011534,2.5337666,1.520556383
ENSG00000010404,6.467090851,6.131546813,5.0848135,6.86974103,6.058116555,6.043834575,7.794573779
ENSG00000010539,2.642905391,3.038872542,1.021011534,2.985988394,1.021011534,3.255846671,4.201870001
ENSG00000010610,3.804901031,3.995929064,5.389384054,2.985988394,3.966212742,3.255846671,4.894266286
ENSG00000010626,2.642905391,1.021011534,1.021011534,1.021011534,3.612301316,1.021011534,3.597584367
ENSG00000010671,7.916891136,7.587556433,6.205997855,7.164599771,6.129918488,6.528332646,6.262291329
ENSG00000010704,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000010803,5.736891394,5.643717915,4.168600383,5.106126332,5.301227865,5.309033755,5.936083325
ENSG00000010810,7.201130281,7.044409062,6.927012122,6.242146407,6.32608904,7.021473874,6.906935528
ENSG00000010818,6.089338905,6.28255761,5.389384054,5.224556214,5.301227865,5.309033755,5.417973968
ENSG00000011007,5.146096797,4.901131888,4.168600383,2.985988394,5.301227865,5.005451055,5.916160909
ENSG00000011009,3.179018871,3.038872542,4.698249073,3.788269875,3.612301316,5.309033755,5.011569719
ENSG00000011021,2.275116933,1.021011534,1.021011534,1.021011534,1.021011534,2.5337666,4.168575791
ENSG00000011028,2.166390961,3.499916977,1.021011534,2.985988394,5.728749504,5.005451055,4.357706857
ENSG00000011083,1.021011534,1.021011534,1.021011534,2.314989466,1.021011534,1.021011534,1.021011534
ENSG00000011105,5.295556034,5.347364185,6.041021689,5.333997471,5.028127778,2.5337666,1.021011534
ENSG00000011114,5.229532612,5.40117914,5.0848135,4.501822797,2.440797094,5.559707002,4.027138426
ENSG00000011132,2.275116933,2.73794616,1.021011534,3.788269875,3.966212742,1.021011534,2.73282405
ENSG00000011143,3.568997272,3.038872542,1.021011534,3.442193525,2.440797094,3.255846671,1.021011534
ENSG00000011198,5.102496713,4.364346456,1.021011534,4.501822797,2.440797094,2.5337666,5.030225446
ENSG00000011201,1.251397792,1.021011534,1.021011534,1.021011534,1.021011534,3.255846671,1.021011534
ENSG00000011243,4.6565145,5.233309817,6.041021689,4.97709813,4.869375002,5.005451055,5.188085693
ENSG00000011258,7.780598561,7.292394741,6.488275725,6.832924966,6.700877862,4.620480143,4.201870001
ENSG00000011260,5.727354479,5.503137211,4.698249073,4.835386599,4.869375002,5.165212984,4.698223519
ENSG00000011275,7.211428537,6.49544965,5.854714557,5.929855382,4.250182126,3.255846671,6.331615526
ENSG00000011295,3.179018871,3.287734011,1.021011534,2.314989466,1.021011534,2.5337666,1.292298233
ENSG00000011304,6.176024008,5.962861222,6.927012122,6.062986398,5.818404258,4.620480143,6.855558224
ENSG00000011332,1.021011534,1.838599807,1.021011534,1.021011534,1.021011534,1.021011534,1.021011534
ENSG00000011347,1.251397792,1.021011534,1.021011534,1.021011534,3.142330303,2.5337666,1.021011534
ENSG00000011376,2.642905391,1.838599807,1.021011534,2.985988394,1.021011534,4.093833879,3.26099216
ENSG00000011405,6.384552975,5.730362259,5.389384054,4.678223663,4.487344268,5.773204727,6.975922068
ENSG00000011422,4.930311239,3.995929064,4.698249073,1.021011534,2.440797094,2.5337666,3.057780702
ENSG00000011426,4.239971201,3.848761081,1.021011534,4.067181446,3.966212742,1.021011534,4.134495037
ENSG00000011451,3.000500245,3.287734011,5.64072965,2.314989466,1.021011534,3.255846671,3.128746178
ENSG00000011454,7.635183058,6.883569414,6.205997855,6.062986398,6.198315671,5.773204727,5.711766525
ENSG00000011465,1.021011534,1.021011534,1.021011534,2.314989466,3.612301316,1.021011534,1.717585159
ENSG00000011485,4.318290854,4.364346456,4.168600383,4.300808666,6.058116555,5.005451055,4.498339536
ENSG00000011523,4.486025008,4.566288238,5.0848135,4.501822797,5.530767303,4.381055846,5.154468095
ENSG00000011566,5.61806387,5.347364185,4.168600383,3.788269875,3.612301316,2.5337666,4.027138426
ENSG00000011590,1.021011534,1.021011534,1.021011534,1.021011534,3.142330303,2.5337666,1.021011534
ENSG00000011600,6.704325056,7.428199384,7.104751027,7.434095593,7.307727128,7.757779245,6.818473486
ENSG00000011638,4.157154507,3.684857269,5.64072965,4.501822797,3.966212742,1.021011534,4.327857114
