EnsembleID,P3202NP,P3275NP,P3090NP,P3095NP,P3107NP,P3230NP,P3376NP,P3052NP,P3387NP,P3372NP,P3367NP,P3354NP
ENSG00000004766,4.640297852,3.982759984,4.652118503,3.710374101,4.595650743,4.262352439,4.665858527,2.903622368,3.102141425,4.094648731,4.379472911,3.830736665
ENSG00000004776,1.765582851,2.242867482,0.973961385,0.973961385,3.654026175,3.402937205,3.168355895,0.973961385,0.973961385,0.973961385,0.973961385,3.48060333
ENSG00000004777,0.973961385,1.929912819,2.072925691,0.973961385,1.961956464,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,1.878854799,0.973961385
ENSG00000004779,5.128855173,4.262617142,3.992921589,4.132582341,3.125168646,4.554441575,4.001460606,4.211061565,4.448393462,5.219004512,5.370760792,5.488323675
ENSG00000004799,3.192771821,5.124586876,2.744116869,3.44157733,2.955916334,4.262352439,4.793177495,0.973961385,4.989428103,2.808271045,4.790160927,5.276414264
ENSG00000004809,0.973961385,2.041945318,1.439329451,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.164894554,0.973961385,0.973961385
ENSG00000004838,0.973961385,1.529708111,2.234461848,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.430668888,0.973961385
ENSG00000004846,1.765582851,0.973961385,0.973961385,0.973961385,2.281471541,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,1.878854799,0.973961385
ENSG00000004848,0.973961385,0.973961385,1.146307889,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000004864,1.765582851,3.176470314,3.720283451,0.973961385,2.955916334,2.648672864,2.732968129,0.973961385,2.399328432,2.164894554,0.973961385,3.01729599
ENSG00000004866,4.721060978,5.794441468,3.576986851,5.467328632,6.67822993,4.262352439,4.371572819,3.700642946,5.262623416,4.763694449,3.803170234,1.806238091
ENSG00000004897,6.413554454,6.036822169,5.502459811,7.238856288,7.417731058,6.595609199,5.973981795,6.405077838,6.405106465,6.41155936,6.481524985,6.085042621
ENSG00000004939,6.738551142,4.010567042,4.652118503,7.4371151,6.342747001,8.454525064,7.869266252,8.641394291,6.959818002,8.285114333,7.93837936,7.159933938
ENSG00000004961,4.366724674,3.599049911,3.160752164,2.066725265,2.764135682,3.895714752,4.526206371,3.700642946,2.399328432,3.251651901,3.140556213,4.347736969
ENSG00000004975,3.192771821,2.242867482,3.483638088,3.44157733,1.961956464,3.895714752,3.773385596,0.973961385,2.399328432,3.251651901,3.396740887,3.978361445
ENSG00000005001,0.973961385,0.973961385,1.146307889,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000005007,5.926843517,5.712159927,5.77618812,3.936868451,5.623229294,4.797234869,4.793177495,5.836738405,5.492230061,4.623235717,4.876854849,4.958492921
ENSG00000005020,9.675159456,9.596650728,7.969853672,10.09017585,10.89018915,8.932564651,9.303692494,9.069551964,9.87000178,9.532076195,8.559351735,8.589578018
ENSG00000005022,6.11792157,5.651636749,5.316463309,5.847802216,5.474469473,6.461032855,5.802972548,5.969727327,5.94412059,6.3235076,6.273567657,6.577144652
ENSG00000005059,2.648899539,3.704960171,4.297213173,3.710374101,2.281471541,3.895714752,4.001460606,4.211061565,3.926912337,3.251651901,3.970214399,5.02792927
ENSG00000005075,5.446419765,5.483238479,4.971524989,6.193142253,5.308588335,5.347818023,5.463366356,6.307928647,4.830611096,6.180452328,6.425103302,6.751486625
ENSG00000005100,3.586816843,3.803624328,4.059131262,2.68132932,4.200335337,2.648672864,4.001460606,3.700642946,3.926912337,3.251651901,3.614220655,1.806238091
ENSG00000005102,3.403205969,1.367142707,1.146307889,0.973961385,1.550931715,0.973961385,2.732968129,2.903622368,3.926912337,2.164894554,2.828842121,2.330660671
ENSG00000005108,2.273814282,0.973961385,1.439329451,0.973961385,0.973961385,0.973961385,2.732968129,0.973961385,0.973961385,0.973961385,0.973961385,1.806238091
ENSG00000005156,3.586816843,3.738603545,5.279909865,3.44157733,2.764135682,3.402937205,4.001460606,4.211061565,3.926912337,4.29314945,4.493613222,3.830736665
ENSG00000005175,6.232554299,6.284695658,5.989289141,6.673763148,7.263039558,5.856761661,5.213120834,5.52715311,6.159922774,6.494544801,6.030502768,6.378800667
ENSG00000005187,2.946314203,3.224751421,2.990228197,0.973961385,2.542895023,0.973961385,0.973961385,3.700642946,2.399328432,2.164894554,3.396740887,3.48060333
ENSG00000005189,2.273814282,3.224751421,1.439329451,3.110962301,3.654026175,3.402937205,0.973961385,0.973961385,3.102141425,3.590322521,0.973961385,1.806238091
ENSG00000005194,3.403205969,2.846960486,3.692740201,3.110962301,3.125168646,4.797234869,2.106423139,0.973961385,3.926912337,3.251651901,1.878854799,4.72755382
ENSG00000005206,0.973961385,2.576304293,3.899632781,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,2.808271045,2.828842121,0.973961385
ENSG00000005238,4.554744037,5.337159505,4.297213173,4.949104724,5.505473893,4.262352439,4.198352984,5.343260111,4.652123194,3.864411633,4.958633182,3.830736665
ENSG00000005243,1.765582851,1.529708111,1.300245262,2.066725265,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,2.808271045,1.878854799,2.330660671
ENSG00000005249,10.13732875,11.14801682,8.664389356,10.58618025,12.10436317,9.585999741,9.548939737,8.828155602,9.557732458,9.183857437,7.987911589,8.297876843
ENSG00000005302,5.128855173,5.292553969,6.16493798,5.143272064,4.040171192,3.895714752,4.526206371,4.587331155,4.989428103,5.117930029,5.370760792,5.157514946
ENSG00000005339,7.457023949,7.331240228,8.037106016,6.735317296,6.892760597,6.885628648,6.923696608,7.184410123,7.206170127,6.850113976,7.046557463,7.047393884
ENSG00000005379,2.946314203,3.360596694,5.983617736,2.68132932,2.542895023,0.973961385,5.018375296,0.973961385,0.973961385,3.251651901,4.493613222,3.830736665
ENSG00000005381,2.273814282,2.576304293,2.632573887,2.68132932,1.550931715,0.973961385,2.732968129,0.973961385,3.102141425,3.590322521,2.430668888,3.01729599
ENSG00000005421,0.973961385,0.973961385,1.146307889,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000005436,3.403205969,3.126517323,3.747310694,3.710374101,2.542895023,2.648672864,0.973961385,3.700642946,4.652123194,3.251651901,3.803170234,3.830736665
ENSG00000005448,3.403205969,1.675796375,2.796812654,2.68132932,1.961956464,3.895714752,2.732968129,0.973961385,0.973961385,2.164894554,3.614220655,2.330660671
ENSG00000005469,1.765582851,2.242867482,2.796812654,2.066725265,2.955916334,0.973961385,0.973961385,0.973961385,2.399328432,2.164894554,3.614220655,3.01729599
ENSG00000005471,3.403205969,1.367142707,2.796812654,2.68132932,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,2.164894554,1.878854799,2.330660671
ENSG00000005483,7.934452151,8.002351871,7.946721035,7.721957096,8.611748967,7.480086533,7.528571081,7.834377025,7.498067777,7.869219603,7.465580874,7.401462456
ENSG00000005486,2.273814282,3.92548441,3.200410002,2.066725265,1.961956464,0.973961385,0.973961385,2.903622368,0.973961385,2.808271045,1.878854799,3.01729599
ENSG00000005513,0.973961385,0.973961385,1.566176233,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000005700,5.446419765,5.728995943,5.688266267,6.05512422,5.565552687,5.186564968,5.608932242,4.587331155,4.830611096,5.219004512,5.539714524,5.629043015
ENSG00000005801,3.192771821,3.224751421,4.333336234,4.132582341,2.542895023,2.648672864,0.973961385,0.973961385,0.973961385,2.808271045,3.140556213,2.330660671
ENSG00000005810,7.847184038,8.024682826,8.544317116,7.03365633,8.212104038,6.595609199,6.978310646,7.43502096,7.498067777,7.135147719,7.008662546,7.112773206
ENSG00000005812,6.338745262,6.461321162,6.066433166,6.148587369,6.705188485,6.056677816,5.802972548,6.203762181,5.690262232,6.453648675,6.613620296,6.50592261
ENSG00000005844,6.232554299,7.411651348,8.165385741,5.731780277,4.65215956,5.960179802,6.026758849,6.662528384,5.690262232,5.905128348,6.535822897,6.50592261
ENSG00000005882,4.028842652,3.599049911,3.515430208,4.304889691,4.65215956,2.648672864,2.732968129,3.700642946,3.102141425,3.251651901,3.140556213,3.48060333
ENSG00000005884,0.973961385,1.183905135,2.379718567,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000005889,5.706537819,5.032650942,6.108731433,4.724680117,4.344481916,4.262352439,5.119031595,5.52715311,4.989428103,5.117930029,4.697922469,5.21818914
ENSG00000005893,4.870171112,6.056963997,5.609442521,5.467328632,5.927902373,2.648672864,5.213120834,3.700642946,4.448393462,4.467612464,5.179363528,3.830736665
ENSG00000005961,8.4782772,10.33581987,7.595301272,9.158849373,11.06621667,7.644370219,7.795142988,7.834377025,8.212735955,7.185970507,5.912332312,6.23938555
ENSG00000006007,5.398112812,5.651636749,4.333336234,6.05512422,6.4261305,5.624617112,5.119031595,5.343260111,4.830611096,4.763694449,5.179363528,4.452468357
ENSG00000006015,3.192771821,3.316720983,4.183077862,2.68132932,2.955916334,0.973961385,3.502357774,3.700642946,2.399328432,3.251651901,3.970214399,3.978361445
ENSG00000006025,1.765582851,2.717970146,4.142933982,2.68132932,1.550931715,0.973961385,2.732968129,3.700642946,0.973961385,2.164894554,3.614220655,2.330660671
ENSG00000006042,0.973961385,0.973961385,0.973961385,2.066725265,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006047,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.648672864,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000006062,4.797541603,3.92548441,5.33439849,4.458795834,2.281471541,4.797234869,4.371572819,2.903622368,4.652123194,3.251651901,4.876854849,4.347736969
ENSG00000006071,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006116,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.648672864,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006118,0.973961385,1.183905135,0.973961385,0.973961385,1.550931715,2.648672864,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006125,7.321132316,7.201539529,6.598794348,6.397352354,8.429767275,6.776513298,6.543837618,6.662528384,6.880947878,7.328505761,6.481524985,6.97891051
ENSG00000006194,3.192771821,3.360596694,4.63774617,3.710374101,1.961956464,4.262352439,4.371572819,3.700642946,2.399328432,3.590322521,3.140556213,3.267468611
ENSG00000006210,0.973961385,1.183905135,1.146307889,2.066725265,0.973961385,0.973961385,2.106423139,2.903622368,3.102141425,2.164894554,2.828842121,0.973961385
ENSG00000006282,3.192771821,2.717970146,4.037397248,0.973961385,2.542895023,0.973961385,0.973961385,0.973961385,3.572680245,4.094648731,2.430668888,0.973961385
ENSG00000006283,0.973961385,0.973961385,0.973961385,2.066725265,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006327,0.973961385,0.973961385,1.566176233,2.68132932,1.550931715,0.973961385,2.106423139,0.973961385,0.973961385,0.973961385,3.140556213,2.7144481
ENSG00000006432,2.648899539,1.529708111,2.744116869,3.110962301,1.550931715,2.648672864,2.732968129,2.903622368,2.399328432,2.164894554,3.614220655,2.330660671
ENSG00000006451,4.939318822,4.781458112,5.060415779,4.724680117,4.65215956,4.554441575,5.608932242,5.52715311,3.102141425,5.564567343,6.174365783,5.983833309
ENSG00000006453,0.973961385,0.973961385,1.146307889,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000006459,6.437652965,7.177209376,6.783123565,7.280747658,7.253939286,6.232232873,6.220448454,6.880919061,6.61461178,6.021634622,6.562224254,6.530056078
ENSG00000006468,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,0.973961385
ENSG00000006530,4.463795145,3.271468942,4.260162363,2.066725265,2.281471541,4.262352439,2.732968129,2.903622368,3.102141425,3.590322521,4.599381519,3.830736665
ENSG00000006534,4.640297852,4.477112109,4.708217449,2.68132932,3.125168646,4.262352439,4.001460606,4.211061565,3.572680245,4.623235717,4.493613222,5.02792927
ENSG00000006555,1.765582851,1.183905135,3.034785695,2.066725265,0.973961385,2.648672864,0.973961385,0.973961385,0.973961385,3.251651901,0.973961385,1.806238091
ENSG00000006576,4.554744037,5.967576333,5.016654895,6.148587369,7.00549881,5.347818023,5.018375296,3.700642946,5.779937454,5.219004512,4.119908674,4.808711002
ENSG00000006607,4.797541603,4.732205592,4.333336234,5.04945247,5.833317799,4.797234869,4.526206371,2.903622368,4.989428103,5.117930029,4.697922469,5.583644723
ENSG00000006611,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.399328432,0.973961385,0.973961385,1.806238091
ENSG00000006625,2.946314203,2.783906453,2.511678767,2.066725265,2.764135682,0.973961385,2.106423139,2.903622368,3.102141425,2.808271045,1.878854799,2.330660671
ENSG00000006634,3.403205969,3.771480208,3.546536815,3.936868451,3.952886759,0.973961385,5.213120834,4.587331155,3.926912337,3.251651901,3.396740887,5.094176574
ENSG00000006638,3.896001249,5.579207969,2.744116869,5.143272064,6.731652513,3.895714752,5.384677415,2.903622368,4.448393462,4.763694449,2.828842121,3.666265936
ENSG00000006652,7.097374628,7.14620808,5.223282226,7.796046813,8.230777926,6.461032855,6.391185343,6.405077838,7.948390772,6.647437038,6.273567657,6.645015443
ENSG00000006659,1.765582851,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,1.878854799,1.806238091
ENSG00000006695,1.765582851,2.965358472,3.451129562,0.973961385,1.961956464,0.973961385,3.502357774,2.903622368,3.102141425,3.590322521,2.430668888,0.973961385
ENSG00000006704,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.648672864,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006712,6.025543656,5.019025592,5.486507766,4.724680117,5.038743129,6.776513298,6.391185343,5.836738405,4.652123194,5.402107695,5.539714524,5.629043015
ENSG00000006715,6.937564664,7.155578616,6.502932284,6.765136733,8.084450167,5.745353665,5.862256659,5.132455145,6.662557122,6.368205132,6.30517491,5.536771306
ENSG00000006740,0.973961385,1.183905135,1.682765967,0.973961385,0.973961385,0.973961385,0.973961385,4.211061565,3.572680245,0.973961385,2.430668888,2.330660671
ENSG00000006744,3.586816843,3.865840631,5.251873866,0.973961385,2.542895023,0.973961385,4.198352984,3.700642946,4.211087762,3.251651901,4.119908674,4.234803366
ENSG00000006747,0.973961385,2.145901346,1.439329451,2.066725265,1.961956464,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006756,2.273814282,4.516433638,4.593749595,0.973961385,0.973961385,0.973961385,2.732968129,2.903622368,0.973961385,2.808271045,2.828842121,1.806238091
ENSG00000006757,3.192771821,1.929912819,1.890995089,2.066725265,0.973961385,0.973961385,3.168355895,0.973961385,0.973961385,2.808271045,2.430668888,0.973961385
ENSG00000006788,0.973961385,0.973961385,1.146307889,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000006831,4.870171112,5.917047523,4.7622164,5.143272064,6.67822993,3.895714752,4.198352984,4.587331155,5.492230061,4.623235717,2.828842121,3.48060333
ENSG00000006837,1.765582851,0.973961385,1.439329451,0.973961385,1.550931715,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,1.806238091
ENSG00000007047,4.028842652,4.813383118,4.517302276,3.110962301,4.809507601,3.402937205,3.502357774,5.343260111,4.211087762,3.864411633,4.599381519,4.347736969
ENSG00000007062,0.973961385,1.183905135,0.973961385,0.973961385,1.961956464,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000007080,4.640297852,4.090910158,4.333336234,3.44157733,3.125168646,5.492845831,5.384677415,3.700642946,3.102141425,4.467612464,5.912332312,5.874984569
ENSG00000007129,2.273814282,1.675796375,3.078008169,0.973961385,1.550931715,0.973961385,2.106423139,2.903622368,4.211087762,2.164894554,0.973961385,2.330660671
ENSG00000007168,6.147444913,5.995674746,5.977923947,5.790957247,6.664559361,5.745353665,5.384677415,4.885488394,5.690262232,5.117930029,5.370760792,5.33238038
ENSG00000007171,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,1.878854799,0.973961385
ENSG00000007174,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000007202,4.939318822,6.214700264,7.009297908,4.597854534,4.040171192,5.960179802,4.001460606,5.132455145,4.448393462,5.219004512,4.790160927,4.234803366
ENSG00000007216,0.973961385,0.973961385,0.973961385,0.973961385,1.550931715,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000007237,6.259843761,6.697761872,6.770004513,4.841251944,4.200335337,3.895714752,4.526206371,5.132455145,3.926912337,5.313459029,4.958633182,5.629043015
ENSG00000007255,0.973961385,1.675796375,2.896759293,0.973961385,0.973961385,2.648672864,3.168355895,2.903622368,3.572680245,2.164894554,2.828842121,1.806238091
ENSG00000007264,5.068401472,2.576304293,4.652118503,3.710374101,1.550931715,4.262352439,5.119031595,0.973961385,3.926912337,5.564567343,5.109473024,4.808711002
ENSG00000007306,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,0.973961385,1.878854799,0.973961385
ENSG00000007312,3.586816843,2.499888442,4.163145546,2.066725265,1.961956464,3.402937205,4.526206371,3.700642946,4.211087762,4.094648731,4.119908674,0.973961385
ENSG00000007314,0.973961385,0.973961385,1.439329451,0.973961385,0.973961385,0.973961385,0.973961385,2.903622368,0.973961385,0.973961385,0.973961385,0.973961385
ENSG00000007341,5.296357635,5.762089778,4.163145546,6.102612524,6.48953239,5.745353665,4.910165979,5.52715311,5.690262232,4.763694449,4.493613222,4.808711002
